city,forecast_high,target_date,nbm_high
New York,42.0,2026-03-17,
Chicago,24.0,2026-03-17,
Phoenix,97.0,2026-03-17,
Miami,71.0,2026-03-17,
Denver,72.0,2026-03-17,
Atlanta,47.0,2026-03-17,47.0
Los Angeles,88.0,2026-03-17,88.0
Houston,63.0,2026-03-17,63.0
Austin,67.0,2026-03-17,67.0
Philadelphia,42.0,2026-03-17,42.0
Washington DC,41.0,2026-03-17,41.0
Las Vegas,90.0,2026-03-17,90.0
Oklahoma City,68.0,2026-03-17,68.0
San Francisco,84.0,2026-03-17,84.0
Seattle,54.0,2026-03-17,54.0
Dallas,66.0,2026-03-17,66.0
New Orleans,57.0,2026-03-17,57.0
Boston,47.0,2026-03-17,47.0
Minneapolis,22.0,2026-03-17,22.0
San Antonio,67.0,2026-03-17,67.0
