city,station_id,lat,lon,timezone,kalshi_series,icao_id
New York,USW00094728,40.7789,-73.9692,America/New_York,KXHIGHNY,KJFK
Chicago,USW00014819,41.7842,-87.7553,America/Chicago,KXHIGHCHI,KMDW
Phoenix,USW00023183,33.4373,-112.0078,America/Phoenix,KXHIGHPHX,KPHX
Miami,USW00092811,25.7959,-80.2870,America/New_York,KXHIGHMIA,KMIA
Denver,USW00023062,39.8561,-104.6758,America/Denver,KXHIGHDEN,KDEN
Atlanta,USW00013874,33.6407,-84.4279,America/New_York,KXHIGHATL,KATL
Los Angeles,USW00093134,34.0236,-118.2911,America/Los_Angeles,KXHIGHLAX,KCQT
Houston,USW00012918,29.6458,-95.2822,America/Chicago,KXHIGHHOU,KHOU
Austin,USW00013904,30.1953,-97.6674,America/Chicago,KXHIGHAUS,KAUS
Philadelphia,USW00013739,39.8721,-75.2424,America/New_York,KXHIGHPHIL,KPHL
Washington DC,USW00013743,38.8530,-77.0306,America/New_York,KXHIGHDC,KDCA
Las Vegas,USW00023169,36.0717,-115.1675,America/Los_Angeles,KXHIGHLAS,KLAS
Oklahoma City,USW00013967,35.3931,-97.6017,America/Chicago,KXHIGHOKC,KOKC
San Francisco,USW00023234,37.6197,-122.3647,America/Los_Angeles,KXHIGHSF,KSFO
Seattle,USW00024233,47.4444,-122.3139,America/Los_Angeles,KXHIGHSEA,KSEA
Dallas,USW00003927,32.8975,-97.0408,America/Chicago,KXHIGHDAL,KDFW
New Orleans,USW00012916,29.9931,-90.2556,America/Chicago,KXHIGHNO,KMSY
Boston,USW00014739,42.3606,-71.0106,America/New_York,KXHIGHBOS,KBOS
Minneapolis,USW00014922,44.8833,-93.2289,America/Chicago,KXHIGHMPLS,KMSP
San Antonio,USW00012921,29.5336,-98.4697,America/Chicago,KXHIGHSA,KSAT
